"brand","year","price_in_euro","power_kw","power_ps","fuel_consumption_l_100km","mileage_in_km","length_offer_description"
"alfa-romeo","2015.58","2015.58","152.95","152.95","6.95","72135.63","32.42"
"aston-martin","2015.94","2015.94","389.24","389.24","13.4","27623.45","27.2"
"audi","2015.14","2015.14","156.7","156.7","6.29","111462.65","37.34"
"bentley","2017.98","2017.98","417.19","417.19","13.02","35531.07","29.73"
"bmw","2013.38","2013.38","161.84","161.84","6.34","131992.96","32.73"
"cadillac","2016.92","2016.92","212.75","212.75","10.19","59545.29","33.56"
"chevrolet","2017.3","2017.3","242.49","242.49","9.44","56110.77","30.61"
"chrysler","2021.75","2021.75","213.8","213.8","9.04","6508.95","24.2"
"citroen","2017.82","2017.82","86.73","86.73","5.13","68219.55","33.18"
"dacia","2018.92","2018.92","76.03","76.03","5.72","49535.33","34.39"
"daewoo","2002.96","2002.96","64.51","64.51","7.17","145584.29","20.0"
"daihatsu","2006.19","2006.19","57.63","57.63","5.79","123089.76","23.84"
"dodge","2020.35","2020.35","298.89","298.89","13.68","33467.31","37.01"
"ferrari","2015.24","2015.24","468.04","468.04","13.82","24239.41","29.99"
"fiat","2018.41","2018.41","64.37","64.37","5.32","48129.92","34.06"
"ford","2016.54","2016.54","108.71","108.71","5.96","83635.51","33.72"
"honda","2018.36","2018.36","110.85","110.85","5.69","53108.82","33.89"
"hyundai","2018.12","2018.12","99.01","99.01","5.77","58629.71","34.6"
"infiniti","2015.35","2015.35","182.13","182.13","8.1","103672.42","33.21"
"isuzu","2020.12","2020.12","119.45","119.45","7.68","41237.11","36.38"
"jaguar","2019.55","2019.55","192.72","192.72","6.99","48415.72","36.84"
"jeep","2019.93","2019.93","147.71","147.71","6.42","41450.28","35.6"
"kia","2018.89","2018.89","105.4","105.4","5.62","50485.35","36.16"
"lada","2017.09","2017.09","62.96","62.96","9.2","34361.73","27.78"
"lamborghini","2018.1","2018.1","486.79","486.79","14.81","20866.2","33.17"
"lancia","2008.11","2008.11","101.65","101.65","7.19","146014.14","29.23"
"land-rover","2019.23","2019.23","192.29","192.29","7.17","58903.79","30.26"
"maserati","2017.49","2017.49","288.0","288.0","11.21","48410.98","29.2"
"mazda","2018.67","2018.67","110.22","110.22","5.76","53399.59","38.46"
"mercedes-benz","2013.27","2013.27","159.75","159.75","7.13","121515.83","35.06"
"mini","2017.62","2017.62","110.29","110.29","5.52","60998.78","33.91"
"mitsubishi","2019.54","2019.54","89.28","89.28","4.99","41167.45","31.9"
"nissan","2018.41","2018.41","99.77","99.77","5.9","53564.96","35.57"
"opel","2015.64","2015.64","90.77","90.77","5.71","85625.33","33.43"
"peugeot","2017.14","2017.14","92.8","92.8","5.25","71795.11","33.78"
"porsche","2016.13","2016.13","289.52","289.52","9.01","75382.94","35.32"
"proton","2000.0","2000.0","70.0","70.0","8.0","93000.0","17.0"
"renault","2017.08","2017.08","88.9","88.9","5.59","69820.66","34.0"
"rover","2001.5","2001.5","101.41","101.41","8.1","138370.71","23.91"
"saab","2003.83","2003.83","126.75","126.75","8.67","188695.3","28.98"
"seat","2019.2","2019.2","102.79","102.79","5.45","51153.84","36.96"
"skoda","2018.44","2018.44","102.69","102.69","5.36","68669.09","36.61"
"smart","2014.23","2014.23","56.09","56.09","4.59","71764.68","35.46"
"ssangyong","2019.62","2019.62","121.86","121.86","7.21","41142.05","35.85"
"toyota","2019.21","2019.21","96.24","96.24","4.81","42958.42","35.15"
"volkswagen","2014.12","2014.12","102.23","102.23","5.97","113033.15","33.86"
"volvo","2018.33","2018.33","155.37","155.37","5.4","81605.95","37.11"
